State,Survey Year,Age,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
Alabama,2013,12+,304.0,389.0,199.0,48.0,1752.0,860.0,1045.0,,,,,,,,,,7.57,9.69,4.95,1.19,43.63,21.43,26.03,,,,,,,,,
Alabama,2013,12-17,30.0,40.0,18.0,2.0,43.0,25.0,24.0,,,,,,,,,,7.75,10.36,4.81,0.46,11.21,6.55,6.25,,,,,,,,,
Alabama,2013,18+,274.0,350.0,180.0,46.0,1709.0,835.0,1021.0,,,,,,,,,,7.55,9.62,4.96,1.26,47.04,23.0,28.11,,,,,,,,,
Alabama,2013,18-25,94.0,136.0,75.0,14.0,273.0,170.0,181.0,,,,,,,,,,17.47,25.36,13.93,2.59,50.89,31.66,33.74,,,,,,,,,
Alabama,2013,26+,180.0,213.0,105.0,32.0,1435.0,665.0,840.0,,,,,,,,,,5.83,6.9,3.41,1.04,46.38,21.5,27.14,,,,,,,,,
Alabama,2014,12+,325.0,404.0,225.0,50.0,1803.0,872.0,1045.0,,,,,,,,,,8.05,9.98,5.57,1.23,44.72,21.61,25.9,,,,,,,,,
Alabama,2014,12-17,30.0,38.0,19.0,2.0,40.0,23.0,22.0,,,,,,,,,,7.75,9.9,4.98,0.42,10.53,6.04,5.66,,,,,,,,,
Alabama,2014,18+,296.0,366.0,206.0,48.0,1763.0,849.0,1023.0,,,,,,,,,,8.08,9.99,5.63,1.31,48.26,23.22,28.0,,,,,,,,,
Alabama,2014,18-25,98.0,145.0,81.0,17.0,275.0,178.0,184.0,,,,,,,,,,18.39,26.99,15.04,3.09,51.36,33.32,34.32,,,,,,,,,
Alabama,2014,26+,197.0,221.0,126.0,31.0,1488.0,670.0,839.0,,,,,,,,,,6.33,7.1,4.03,1.01,47.74,21.51,26.93,,,,,,,,,
