State,Age,Year,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
UNITED STATES,12+,2013,24218,32231,19332,4427,136188,59876,56648,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,17-Dec,2013,2287,3355,1781,156,3047,1678,1516,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,18-25,2013,7436,10944,6560,1572,20783,13424,10832,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,26+,2013,14495,17933,10991,2699,112358,44774,44300,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,12+,2014,25779,34038,20999,4368,138279,60505,55507,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,12+,2018,31197,42211,26832,5736,140213,66848,47823,3317,9007,847,1750,10512,7819,1686,14661,19979,,,,,,,,,,,,,,,,
UNITED STATES,12+,2019,33861,45865,29637,5499,139783,66453,46420,3524,9094,776,1933,9836,8204,1530,14661,20331,,,,,,,,,,,,,,,,
UNITED STATES,18+,2013,21931,28877,17551,4271,133141,58199,55132,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,17-Dec,2014,2267,3304,1796,149,2875,1534,1305,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,17-Dec,2018,1983,3102,1635,119,2349,1239,730,1229,597,12,45,731,711,101,422,954,,,,,,,,,,,,,,,,
UNITED STATES,17-Dec,2019,2084,3197,1748,104,2289,1190,622,1269,591,5,42,631,788,95,407,1017,,,,,,,,,,,,,,,,
UNITED STATES,12+,2017,29519,39252,24988,5507,138664,65982,50013,3105,9139,917,1512,11297,7463,1715,14781,19906,,,,,,,,,,,,,,,,
UNITED STATES,12+,2013,,,,,,,,,,,,,,,,,9.27,12.34,7.4,1.69,52.13,22.92,21.69,,,,,,,,,
UNITED STATES,12+,2016,27822,36806,23103,4950,137531,66009,51642,3002,9195,888,,11989,7559,1896,15396,20461,,,,,,,,,,,,,,,,
UNITED STATES,18-25,2014,7583,11077,6736,1573,20777,13185,10281,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,18-25,2018,8216,11892,7559,2047,19044,12264,7084,1485,2243,186,324,2159,2555,293,3434,5097,,,,,,,,,,,,,,,,
